Report_Month,Community_ID,Unit_Type,New_Leads,Email_Leads,Call_Leads,Online_Leads,Walk_In_Leads,Off_Site_Event_Leads,Chat_Leads,Text_Leads,Other_Leads,Emails,Calls,Chats,Texts,First_Visits_Tours,Source_File_Name,Source_Sheet
2026-04-01,CIT,B1,14,0,6,4,2,0,0,0,2,157,64,0,57,4,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,C1,30,0,3,17,2,0,0,0,8,257,174,0,198,13,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,CIT,Unknown,127,0,23,15,27,0,0,0,62,733,170,0,204,42,02 - RISE - Box Score-11.xlsx,Rise Citrus Ridge Townhomes
2026-04-01,DOR,Unit Type,New Leads,Email,Call,Online,Walk In,Off Site Event,Chat,Text,Other,Emails,Calls,Chats,Texts,First Visits/Tours,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A1,4,0,0,1,1,0,0,0,2,9,18,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A1-L,0,0,0,0,0,0,0,0,0,13,1,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A2,1,0,0,1,0,0,0,0,0,10,8,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A2-L,5,0,0,4,1,0,0,0,0,18,11,0,1,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A3,1,0,0,0,0,0,0,0,1,4,0,0,0,0,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A4-L,1,0,0,1,0,0,0,0,0,2,1,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,A5,3,0,0,2,1,0,0,0,0,40,8,0,8,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B1,1,0,0,0,0,0,0,0,1,8,10,0,1,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B2-L,1,0,0,1,0,0,0,0,0,1,0,0,0,1,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B3,3,0,1,2,0,0,0,0,0,11,2,0,1,2,02 - RISE - Box Score-11.xlsx,Rise Doro
2026-04-01,DOR,B4,3,0,0,3,0,0,0,0,0,12,13,0,6,1,02 - RISE - Box Score-11.xlsx,Rise Doro
