"Unit Type","Avg. SQFT","Avg. Market Rent (Budgeted)","Avg. Scheduled Rent","Avg. Net Effective Rent",Units,Excluded,"Rentable Units",Occupied,Vacant,Available,"Occupied No Notice","Notice Rented","Notice Unrented","Vacant Rented","Vacant Unrented",Occupied,Leased,Trend,Exposure
B3,1210.00,"2,907.00","2,825.00","2,778.03",14,0,14,1,13,12,1,0,0,1,12,0.0714,0.1429,0.1429,0.8571
B4,1184.00,"2,650.00","2,668.25","2,327.89",9,0,9,4,5,4,4,0,0,1,4,0.4444,0.5556,0.5556,0.4444
B4-L,1184.00,"2,650.00",0.00,0.00,6,0,6,0,6,4,0,0,0,2,4,0.0000,0.3333,0.3333,0.6667
L1,912.00,"1,999.00",0.00,0.00,9,0,9,0,9,9,0,0,0,0,9,0.0000,0.0000,0.0000,1.0000
L2,1171.00,"3,133.00",0.00,0.00,4,0,4,0,4,4,0,0,0,0,4,0.0000,0.0000,0.0000,1.0000
S1,600.00,"1,563.00","1,538.50","1,281.84",40,0,40,2,38,36,2,0,0,2,36,0.0500,0.1000,0.1000,0.9000
S2,566.00,"1,493.00","1,459.50","1,251.13",5,0,5,2,3,3,2,0,0,0,3,0.4000,0.4000,0.4000,0.6000
S3,574.00,"1,470.00","1,504.00","1,504.00",9,0,9,1,8,8,1,0,0,0,8,0.1111,0.1111,0.1111,0.8889
S4,586.00,"1,500.00","1,529.00","1,529.00",4,0,4,1,3,3,1,0,0,0,3,0.2500,0.2500,0.2500,0.7500
S5,505.00,"1,423.00",0.00,0.00,4,0,4,0,4,2,0,0,0,2,2,0.0000,0.5000,0.5000,0.5000
B1,1301.00,"1,895.00","2,049.20","1,812.30",55,0,55,55,0,2,52,1,2,0,0,1.0000,1.0000,0.9636,0.0364
C1,1504.00,"2,099.00","2,296.53","2,109.81",169,0,169,151,18,16,136,5,10,12,6,0.8935,0.9645,0.9053,0.0947
A1,777.00,"1,717.78","1,674.14","1,422.69",79,0,79,77,2,20,55,4,18,0,2,0.9747,0.9747,0.7468,0.2532
A2,781.00,"1,737.95","1,705.92","1,511.76",39,0,39,38,1,2,36,1,1,0,1,0.9744,0.9744,0.9487,0.0513
B1,1046.00,"1,940.43","1,913.43","1,718.18",63,0,63,42,21,25,36,1,5,1,20,0.6667,0.6825,0.6032,0.3968
B2,1095.00,"1,997.50","1,967.00","1,968.21",2,0,2,1,1,1,1,0,0,0,1,0.5000,0.5000,0.5000,0.5000
B3,1184.00,"2,228.49","2,117.00","1,851.72",78,0,78,72,6,5,68,0,4,5,1,0.9231,0.9872,0.9359,0.0641
C1,1445.00,"2,465.25","2,402.26","1,985.54",20,0,20,19,1,2,18,0,1,0,1,0.9500,0.9500,0.9000,0.1000
S1,608.00,"1,610.28","1,519.42","1,316.23",18,0,18,12,6,5,11,1,0,1,5,0.6667,0.7222,0.7222,0.2778
TA1,834.00,"1,796.00","1,760.00","1,642.81",3,0,3,3,0,1,2,0,1,0,0,1.0000,1.0000,0.6667,0.3333
TB1,1181.00,"2,148.00","2,108.00","1,660.18",4,0,4,2,2,2,2,0,0,0,2,0.5000,0.5000,0.5000,0.5000
TB2,1508.00,"2,767.50","2,405.78","2,190.19",10,0,10,9,1,1,9,0,0,0,1,0.9000,0.9000,0.9000,0.1000
TC1,1854.00,"3,559.25","3,178.33","2,666.74",4,0,4,3,1,1,3,0,0,0,1,0.7500,0.7500,0.7500,0.2500
B1,1260.00,"2,595.00","2,385.00","2,352.38",92,0,92,1,91,89,1,0,0,2,89,0.0109,0.0326,0.0326,0.9674
C1,1527.00,"2,990.00","2,615.00","2,579.24",180,0,180,1,179,177,1,0,0,2,177,0.0056,0.0167,0.0167,0.9833
A1,684.00,"1,760.75","1,800.00","1,615.81",24,0,24,11,13,11,11,0,0,2,11,0.4583,0.5417,0.5417,0.4583
A2,756.00,"1,852.75","1,882.50","1,848.55",24,0,24,16,8,8,15,0,1,1,7,0.6667,0.7083,0.6667,0.3333
A3,821.00,"1,961.75","1,953.93","1,776.52",24,0,24,14,10,9,14,0,0,1,9,0.5833,0.6250,0.6250,0.3750
A4-A,903.00,"2,059.14","2,081.25","2,048.33",14,0,14,8,6,5,8,0,0,1,5,0.5714,0.6429,0.6429,0.3571
A4-B,950.00,"2,238.75","2,300.00","2,218.09",8,0,8,3,5,6,2,0,1,0,5,0.3750,0.3750,0.2500,0.7500
B1,1202.00,"2,590.75","2,564.62","2,296.54",32,0,32,13,19,19,12,0,1,1,18,0.4062,0.4375,0.4062,0.5938
B3,1359.00,"2,690.75","2,856.88","2,744.05",16,0,16,8,8,6,8,0,0,2,6,0.5000,0.6250,0.6250,0.3750
H1C,1456.00,"3,216.00","3,250.00","3,250.00",2,0,2,1,1,1,1,0,0,0,1,0.5000,0.5000,0.5000,0.5000
H2A,1620.00,"3,417.00","3,442.86","2,501.02",8,0,8,7,1,1,5,1,1,1,0,0.8750,1.0000,0.8750,0.1250
H3B,1661.00,"3,618.00","3,657.14","3,348.31",14,0,14,14,0,0,11,3,0,0,0,1.0000,1.0000,1.0000,0.0000
